OFFER	code	noDuplicates	doNotIdentify	numAllowedTakes	treasure0UnitType	treasure0	treasure1UnitType	treasure1	treasure2UnitType	treasure2	treasure3UnitType	treasure3	treasure4UnitType	treasure4	treasure5UnitType	treasure5	treasure6UnitType	treasure6	treasure7UnitType	treasure7	offerString	
QuestCreditCheckReward	26692	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBadCustomersReward	26948	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDeindeReward	27204	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPorroReward	27460	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestServoReward	27716	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestProximusReward	27972	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSuccrescoReward	28228	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSecundumReward	28484	0	1	1	-1	394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestEvincoReward	28740	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestQuisquiliarumReward	28996	0	1	1	-1	407	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestInvicemReward	29252	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestExindeReward	29508	0	1	1	-1	409	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTrickedReward	31044	0	0	1	-1	422	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTreatsReward	31300	0	0	1	-1	423	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGFN1Reward	16709	0	0	2	-1	452	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGFN2Reward	16965	0	0	2	-1	453	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGFN3Reward	17221	0	0	3	-1	454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGFN4Reward	17477	0	0	2	-1	455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestCubeOffer	17733	0	0	1	-1	458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13125
