"WARDROBE_BODY"	"name"	"layers1"	"layers2"	"layers3"	"layers4"	"Base"	"head"	"hair"	"facialHair"	"skin"	"hairColorTexture"	"skinColor"	"hairColor"	"randomize"	"randomLayerSets1"	"randomLayerSets2"	"randomLayerSets3"
"3,63,0,-1,0,-1"	"Preview Male Hair 06"	602	-1	-1	-1	16	-1	37	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 07"	603	-1	-1	-1	16	-1	38	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 08"	604	-1	-1	-1	16	-1	39	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 09"	605	-1	-1	-1	16	-1	40	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 10"	606	-1	-1	-1	16	-1	41	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 11"	607	-1	-1	-1	16	-1	42	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 12"	608	-1	-1	-1	16	-1	43	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 13"	609	-1	-1	-1	16	-1	44	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 14"	610	-1	-1	-1	16	-1	45	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 15"	611	-1	-1	-1	16	-1	46	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 16"	612	-1	-1	-1	16	-1	47	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 1"	616	-1	-1	-1	16	17	-1	49	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 2"	617	-1	-1	-1	16	17	-1	50	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 3"	618	-1	-1	-1	16	17	-1	51	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 4"	619	-1	-1	-1	16	17	-1	52	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 5"	620	-1	-1	-1	16	17	-1	53	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 6"	621	-1	-1	-1	16	17	-1	54	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 7"	622	-1	-1	-1	16	17	-1	55	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 8"	623	-1	-1	-1	16	17	-1	56	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 9"	624	-1	-1	-1	16	17	-1	57	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 10"	625	-1	-1	-1	16	17	-1	58	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 11"	626	-1	-1	-1	16	17	-1	59	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 12"	627	-1	-1	-1	16	17	-1	60	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Face Hair 13"	628	-1	-1	-1	16	17	-1	61	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 1"	-1	-1	-1	-1	63	64	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 2"	-1	-1	-1	-1	63	65	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 3"	-1	-1	-1	-1	63	66	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 4"	-1	-1	-1	-1	63	67	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 5"	-1	-1	-1	-1	63	68	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 6"	-1	-1	-1	-1	63	69	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 7"	-1	-1	-1	-1	63	70	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 8"	-1	-1	-1	-1	63	71	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 9"	-1	-1	-1	-1	63	72	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 10"	-1	-1	-1	-1	63	73	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 11"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 12"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 13"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Head 14"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 01"	597	-1	-1	-1	63	-1	76	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 02"	598	-1	-1	-1	63	-1	77	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 03"	599	-1	-1	-1	63	-1	78	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 04"	600	-1	-1	-1	63	-1	79	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 05"	601	-1	-1	-1	63	-1	80	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 06"	602	-1	-1	-1	63	-1	81	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 07"	603	-1	-1	-1	63	-1	82	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 08"	604	-1	-1	-1	63	-1	83	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 09"	605	-1	-1	-1	63	-1	84	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 10"	606	-1	-1	-1	63	-1	85	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 11"	607	-1	-1	-1	63	-1	86	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 12"	608	-1	-1	-1	63	-1	87	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 14"	610	-1	-1	-1	63	-1	88	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Hair 15"	611	-1	-1	-1	63	-1	89	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 1"	630	599	-1	-1	63	64	78	91	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 2"	631	599	-1	-1	63	64	78	92	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 3"	632	599	-1	-1	63	64	78	93	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 4"	633	599	-1	-1	63	64	78	94	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 5"	634	599	-1	-1	63	64	78	95	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 6"	635	599	-1	-1	63	64	78	96	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 7"	636	599	-1	-1	63	64	78	97	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 8"	637	599	-1	-1	63	64	78	98	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 9"	638	599	-1	-1	63	64	78	99	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 10"	639	599	-1	-1	63	64	78	100	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 11"	640	599	-1	-1	63	64	78	101	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 12"	641	599	-1	-1	63	64	78	102	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 13"	641	599	-1	-1	63	64	78	103	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 14"	641	599	-1	-1	63	64	78	104	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Female Earring 15"	642	599	-1	-1	63	64	78	105	-1	-1	0	0	1	-1	-1	-1
