description	inventoryType	location	colorSetPriority	slotStat	maxSlotStat	unknown	bitmask	types0	types1	types2	types3	types4	types5	onlyItemsUsableByType0	onlyItemsUsableByType1	onlyItemsUsableByType2	onlyItemsUsableByType3	onlyItemsUsableByType4	onlyItemsUsableByType5	width	height	filter	checkClass	preventloc1	preventtype1a	preventtype1b	preventtype1c	preventtype1d	preventtype1e	preventtype1f	allowskill1	allowskill2	allowskill3	skillallowtype1a	skillallowtype1b	skillallowtype1c	skillallowtype1d	skillallowtype1e	skillallowtype1f	skillallowtype2a	skillallowtype2b	skillallowtype2c	skillallowtype2d	skillallowtype2e	skillallowtype2f	skillallowtype3a	skillallowtype3b	skillallowtype3c	skillallowtype3d	skillallowtype3e	skillallowtype3f	allowskilllevel1	allowskilllevel2	allowskilllevel3	weaponIndex	physicallyInContainer	tradeLocation	returnStuckItemsToStandardLoc	standardLocation	onPersonLocation	allowedHotkeySourceLocation	rewardLocation	serverOnlyLocation	cursorLocation	playerPutRestricted	playerTakeRestricted	invLocFallbackOnLoadError	
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
tradesman	13	66	-1	250	-1	0	38	3	-74	0	0	0	0	1	0	0	0	0	0	32	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
single_use_recipe_ingredients	16	74	-1	250	-1	0	2	3	-74	0	0	0	0	1	0	0	0	0	0	8	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
single_use_recipe_results	16	75	-1	250	-1	0	2	3	-74	0	0	0	0	1	0	0	0	0	0	4	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
torso	17	5	-1	-1	-1	0	537069570	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	176	-1	-1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	0	0	0	0	0	0	-1
rhand	17	7	-1	-1	-1	0	537069578	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	178	-1	-1	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	-1
lhand	17	8	-1	-1	-1	0	537069578	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	177	-1	-1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
